language,feature_set,vector
eng,geo,"0.7664999961853027,0.7924000024795532,0.8277999758720398,0.7214000225067139,0.8568999767303467,0.758400022983551,0.7357000112533569,0.888700008392334,0.6898999810218811,0.8137000203132629,0.8012999892234802,0.6771000027656555,0.9192000031471252,0.6973999738693237,0.738099992275238,0.8744999766349792,0.6413000226020813,0.8578000068664551,0.7418000102043152,0.664900004863739,0.9595999717712402,0.6402000188827515,0.765500009059906,0.8162000179290771,0.6123999953269958,0.9156000018119812,0.6765999794006348,0.6758000254631042,0.9118000268936157,0.5938000082969666,0.8094000220298767,0.7455000281333923,0.6036999821662903,0.9761999845504761,0.6151000261306763,0.7053999900817871,0.8374000191688538,0.5627999901771545,0.8629999756813049,0.6736000180244446,0.614799976348877,0.9354000091552734,0.5630000233650208,0.7490000128746033,0.7592999935150146,0.5503000020980835,0.9142000079154968,0.6054999828338623,0.6434999704360962,0.8579999804496765,0.5248000025749207,0.8008000254631042,0.6816999912261963,0.5573999881744385,0.9229999780654907,0.5455999970436096,0.6858999729156494,0.7774999737739563,0.5047000050544739,0.8515999913215637,0.6074000000953674,0.5827999711036682,0.8695999979972839,0.498199999332428,0.7365999817848206,0.6966999769210815,0.504800021648407,0.8815000057220459,0.5397999882698059,0.6227999925613403,0.7950000166893005,0.46790000796318054,0.7885000109672546,0.617900013923645,0.5246000289916992,0.8633999824523926,0.48260000348091125,0.6722999811172485,0.7148000001907349,0.45829999446868896,0.8288000226020813,0.5436999797821045,0.5608000159263611,0.8059999942779541,0.4408000111579895,0.7249000072479248,0.633899986743927,0.4702000021934509,0.8377000093460083,0.47749999165534973,0.608299970626831,0.732200026512146,0.41929998993873596,0.7713000178337097,0.5551000237464905,0.5008000135421753,0.8051999807357788,0.42419999837875366,0.6610000133514404,0.652400016784668,0.4205999970436096,0.7975000143051147,0.48179998993873596,0.545199990272522,0.7444000244140625,0.38920000195503235,0.7110999822616577,0.5716999769210815,0.44359999895095825,0.7896000146865845,0.4180000126361847,0.597000002861023,0.670199990272522,0.3774999976158142,0.748199999332428,0.4934000074863434,0.48339998722076416,0.7476000189781189,0.3695000112056732,0.6492999792098999,0.5906000137329102,0.3903000056743622,0.7598999738693237,0.4212999939918518,0.5333999991416931,0.6837999820709229,0.3427000045776367,0.6934999823570251,0.5101000070571899,0.4235000014305115,0.7387999892234802,0.3605000078678131,0.5864999890327454,0.6089000105857849,0.34220001101493835,0.7192000150680542,0.4323999881744385,0.47029998898506165,0.6899999976158142,0.3181000053882599,0.635200023651123,0.5291000008583069,0.36629998683929443,0.7172999978065491,0.3619000017642975,0.5231000185012817,0.6236000061035156,0.3012999892234802,0.670799970626831,0.4487999975681305,0.4081999957561493,0.6858999729156494,0.30489999055862427,0.5745000243186951,0.5476999878883362,0.31299999356269836,0.6843000054359436,0.3718000054359436,0.4596000015735626,0.6316999793052673,0.2700999975204468,0.6169000267982483,0.46779999136924744,0.34769999980926514,0.6704000234603882,0.30309998989105225,0.5123999714851379,0.5630999803543091,0.2653000056743622,0.6421999931335449,0.38760000467300415,0.3962000012397766,0.6309999823570251,0.2508000135421753,0.5594000220298767,0.48649999499320984,0.2896000146865845,0.6438000202178955,0.3111000061035156,0.44920000433921814,0.5726000070571899,0.22599999606609344,0.5932999849319458,0.40619999170303345,0.33329999446868896,0.6197999715805054,0.24449999630451202,0.4991999864578247,0.5020999908447266,0.23510000109672546,0.6074000000953674,0.32600000500679016,0.3855000138282776,0.5738999843597412,0.19830000400543213,0.5393000245094299,0.42480000853538513,0.27149999141693115,0.5978999733924866,0.25,0.43720000982284546,0.5120999813079834,0.18649999797344208,0.5630999803543091,0.3441999852657318,0.321399986743927,0.5652999877929688,0.18549999594688416,0.48170000314712524,0.44020000100135803,0.21119999885559082,0.5659000277519226,0.2637999951839447,0.37400001287460327,0.51419997215271,0.1476999968290329,0.5126000046730042,0.36239999532699585,0.2574000060558319,0.5462999939918518,0.1876000016927719,0.4212999939918518,0.4499000012874603,0.1535000056028366,0.5252000093460083,0.2816999852657318,0.3098999857902527,0.506600022315979,0.1251000016927719,0.45739999413490295,0.37709999084472656,0.19359999895095825,0.5169000029563904,0.20090000331401825,0.35920000076293945,0.4514000117778778,0.10080000013113022,0.4772999882698059,0.2992999851703644,0.24570000171661377,0.48820000886917114,0.12349999696016312,0.3986000120639801,0.3853999972343445,0.13019999861717224,0.47780001163482666,0.219200000166893,0.296099990606308,0.4424999952316284,0.0617000013589859,0.42340001463890076,0.31279999017715454,0.18199999630451202,0.45840001106262207,0.1388999968767166,0.3375999927520752,0.38420000672340393,0.06750000268220901,0.4300000071525574,0.23690000176429749,0.2337000072002411,0.4212999939918518,0.060499999672174454,0.36480000615119934,0.3179999887943268,0.12219999730587006,0.4169999957084656,0.16140000522136688,0.2759000062942505,0.3702000081539154,0.014100000262260437,0.37389999628067017,0.2484000027179718,0.1761000007390976,0.38530001044273376,0.09399999678134918,0.3027999997138977,0.3100000023841858,0.08169999718666077,0.36230000853538513,0.1826000064611435,0.21809999644756317,0.337799996137619,0.06669999659061432,0.30889999866485596,0.24729999899864197,0.1396999955177307,0.32839998602867126,0.13770000636577606,0.24040000140666962,0.2784999907016754,0.11110000312328339,0.28619998693466187,0.19660000503063202,0.1835000067949295,0.26589998602867126,0.15790000557899475,0.2240000069141388,0.20559999346733093"
spa,geo,"0.6972000002861023,0.7246000170707703,0.7605999708175659,0.6516000032424927,0.7896999716758728,0.6934999823570251,0.669700026512146,0.8212000131607056,0.6211000084877014,0.7541999816894531,0.7433000206947327,0.6087999939918518,0.8521999716758728,0.6338000297546387,0.6794999837875366,0.8206999897956848,0.5716000199317932,0.807200014591217,0.6877999901771545,0.6011999845504761,0.8930000066757202,0.574400007724762,0.7170000076293945,0.7734000086784363,0.5435000061988831,0.8730999827384949,0.6209999918937683,0.6202999949455261,0.8763999938964844,0.5250999927520752,0.7735999822616577,0.7042999863624573,0.5392000079154968,0.939300000667572,0.5548999905586243,0.661300003528595,0.8127999901771545,0.49300000071525574,0.8435999751091003,0.6283000111579895,0.5587000250816345,0.9348999857902527,0.4973999857902527,0.7190999984741211,0.7329999804496765,0.48350000381469727,0.9229999780654907,0.5534999966621399,0.5993000268936157,0.8572999835014343,0.4555000066757202,0.7890999913215637,0.6489999890327454,0.4984999895095825,0.9897000193595886,0.48579999804496765,0.6565999984741211,0.7689999938011169,0.4357999861240387,0.866100013256073,0.566100001335144,0.5358999967575073,0.9003000259399414,0.43160000443458557,0.7254999876022339,0.678600013256073,0.44209998846054077,0.9375,0.4885999858379364,0.5910999774932861,0.8073999881744385,0.39820000529289246,0.8004000186920166,0.5892000198364258,0.47350001335144043,0.9253000020980835,0.42170000076293945,0.6583999991416931,0.7132999897003174,0.39169999957084656,0.8718000054359436,0.5034999847412109,0.5249000191688538,0.8421000242233276,0.3727000057697296,0.7321000099182129,0.6194999814033508,0.41370001435279846,0.9068999886512756,0.4255000054836273,0.5900999903678894,0.7490000128746033,0.3499999940395355,0.8043000102043152,0.527899980545044,0.4593999981880188,0.8629999756813049,0.361299991607666,0.6626999974250793,0.6536999940872192,0.35850000381469727,0.8579999804496765,0.44130000472068787,0.5216000080108643,0.7807000279426575,0.3197999894618988,0.7357000112533569,0.5587999820709229,0.39570000767707825,0.8586000204086304,0.36399999260902405,0.5928000211715698,0.6881999969482422,0.31049999594688416,0.7979000210762024,0.46630001068115234,0.45339998602867126,0.8016999959945679,0.30399999022483826,0.6662999987602234,0.5928999781608582,0.3352999985218048,0.8278999924659729,0.37940001487731934,0.5228000283241272,0.7189000248908997,0.27300000190734863,0.7333999872207642,0.4975000023841858,0.3864000141620636,0.8047999739646912,0.30379998683929443,0.5963000059127808,0.6269000172615051,0.2800999879837036,0.7799999713897705,0.40459999442100525,0.453000009059906,0.7407000064849854,0.2502000033855438,0.6664000153541565,0.5315999984741211,0.3212999999523163,0.7870000004768372,0.31790000200271606,0.5260000228881836,0.6571000218391418,0.23350000381469727,0.7228999733924866,0.4359999895095825,0.38370001316070557,0.7486000061035156,0.24480000138282776,0.5979999899864197,0.5652999877929688,0.25929999351501465,0.7512000203132629,0.34279999136924744,0.45570001006126404,0.6797000169754028,0.2004999965429306,0.6606000065803528,0.4702000021934509,0.31529998779296875,0.739300012588501,0.2565000057220459,0.5286999940872192,0.5953999757766724,0.2029999941587448,0.703000009059906,0.37450000643730164,0.3853999972343445,0.690500020980835,0.18700000643730164,0.595300018787384,0.5037999749183655,0.2483000010251999,0.7131999731063843,0.28110000491142273,0.45890000462532043,0.6183000206947327,0.15710000693798065,0.6470000147819519,0.4088999927043915,0.3154999911785126,0.6866999864578247,0.19499999284744263,0.5281999707221985,0.5335999727249146,0.18389999866485596,0.6736000180244446,0.313400000333786,0.3889999985694885,0.6306999921798706,0.1307000070810318,0.5860999822616577,0.4424999952316284,0.24609999358654022,0.6675999760627747,0.21960000693798065,0.4602000117301941,0.5564000010490417,0.12430000305175781,0.6241000294685364,0.3483000099658966,0.31929999589920044,0.6299999952316284,0.13300000131130219,0.5221999883651733,0.4717999994754791,0.17749999463558197,0.6347000002861023,0.2531999945640564,0.3919000029563904,0.5691999793052673,0.07800000160932541,0.5680999755859375,0.38179999589920044,0.25040000677108765,0.6151000261306763,0.1590999960899353,0.45669999718666077,0.49390000104904175,0.11010000109672546,0.5910000205039978,0.2892000079154968,0.32409998774528503,0.5695000290870667,0.07020000368356705,0.5077999830245972,0.41040000319480896,0.18299999833106995,0.5866000056266785,0.19619999825954437,0.39089998602867126,0.5055999755859375,0.04410000145435333,0.5392000079154968,0.3230000138282776,0.2581999897956848,0.555899977684021,0.10459999740123749,0.44530001282691956,0.43070000410079956,0.11980000138282776,0.5462999939918518,0.23489999771118164,0.3264000117778778,0.5044000148773193,0.020099999383091927,0.48190000653266907,0.35040000081062317,0.1972000002861023,0.527999997138977,0.15039999783039093,0.3822999894618988,0.43939998745918274,0.0722000002861023,0.49619999527931213,0.2696000039577484,0.2660999894142151,0.48809999227523804,0.08169999718666077,0.421099990606308,0.3675000071525574,0.14959999918937683,0.48649999499320984,0.1949000060558319,0.32190001010894775,0.4327000081539154,0.07840000092983246,0.4383000135421753,0.2955000102519989,0.21739999949932098,0.4544999897480011,0.14079999923706055,0.3596000075340271,0.3691999912261963,0.13570000231266022,0.4309999942779541,0.23309999704360962,0.27070000767707825,0.4050999879837036,0.1347000002861023,0.3734000027179718,0.30649998784065247,0.19789999723434448,0.39820000529289246,0.19910000264644623,0.30230000615119934,0.3449000120162964,0.1800999939441681,0.3549000024795532,0.2614000141620636,0.2492000013589859,0.33550000190734863,0.227400004863739,0.2930000126361847,0.275299996137619"
fra,geo,"0.7378000020980835,0.7682999968528748,0.7982000112533569,0.6941999793052673,0.8334000110626221,0.7286999821662903,0.7134000062942505,0.859000027179718,0.6608999967575073,0.7967000007629395,0.772599995136261,0.6524999737739563,0.8959000110626221,0.6678000092506409,0.7215999960899353,0.8471999764442444,0.6133999824523926,0.8471999764442444,0.7138000130653381,0.6445000171661377,0.9300000071525574,0.6104999780654907,0.7555000185966492,0.791700005531311,0.5871000289916992,0.9114000201225281,0.6481000185012817,0.6610999703407288,0.8919000029563904,0.5647000074386597,0.8069000244140625,0.7210000157356262,0.5825999975204468,0.9825000166893005,0.5857999920845032,0.6974999904632568,0.819599986076355,0.5357999801635742,0.8698999881744385,0.647599995136261,0.5996000170707703,0.9334999918937683,0.53329998254776,0.7488999962806702,0.7398999929428101,0.5273000001907349,0.9358000159263611,0.5776000022888184,0.6353999972343445,0.8503000140190125,0.49630001187324524,0.8098000288009644,0.659500002861023,0.5403000116348267,0.9473000168800354,0.5162000060081482,0.6855999827384949,0.7649999856948853,0.47940000891685486,0.8719000220298767,0.5823000073432922,0.5728999972343445,0.8755999803543091,0.46860000491142273,0.7451000213623047,0.6797000169754028,0.48510000109672546,0.9111999869346619,0.511900007724762,0.6208999752998352,0.7911999821662903,0.44029998779296875,0.8065999746322632,0.5967000126838684,0.5121999979019165,0.8837000131607056,0.4530999958515167,0.6790000200271606,0.7042999863624573,0.43549999594688416,0.8562999963760376,0.5187000036239624,0.5565999746322632,0.8127999901771545,0.4115999937057495,0.7405999898910522,0.6177999973297119,0.4544000029563904,0.8658999800682068,0.44940000772476196,0.6126999855041504,0.7293999791145325,0.39329999685287476,0.795799970626831,0.5342000126838684,0.4936000108718872,0.8226000070571899,0.3944999873638153,0.6740000247955322,0.6424999833106995,0.40119999647140503,0.8271999955177307,0.45649999380111694,0.5468000173568726,0.7505000233650208,0.36079999804496765,0.7325999736785889,0.5558000206947327,0.4327000081539154,0.8148999810218811,0.38940000534057617,0.6072999835014343,0.6675000190734863,0.35420000553131104,0.7764999866485596,0.4722000062465668,0.48170000314712524,0.7626000046730042,0.33980000019073486,0.667900025844574,0.5806999802589417,0.3752000033855438,0.7889999747276306,0.3953999876976013,0.5406000018119812,0.6888999938964844,0.3158999979496002,0.7192999720573425,0.49399998784065247,0.4180999994277954,0.7613000273704529,0.3314000070095062,0.6021000146865845,0.6057000160217285,0.32260000705718994,0.7488999962806702,0.4106999933719635,0.47429999709129333,0.7028999924659729,0.2888999879360199,0.65829998254776,0.5188999772071838,0.35659998655319214,0.7445999979972839,0.3352999985218048,0.5357000231742859,0.6274999976158142,0.27720001339912415,0.6991999745368958,0.43230000138282776,0.40860000252723694,0.7059000134468079,0.275299996137619,0.5949000120162964,0.5440000295639038,0.2985000014305115,0.7138000130653381,0.34940001368522644,0.4690999984741211,0.6428999900817871,0.24220000207424164,0.6434000134468079,0.45719999074935913,0.3440999984741211,0.6956999897956848,0.27570000290870667,0.5299000144004822,0.5662000179290771,0.24549999833106995,0.6718000173568726,0.37059998512268066,0.4025000035762787,0.6488000154495239,0.22110000252723694,0.5835000276565552,0.4823000133037567,0.28139999508857727,0.6722000241279602,0.288100004196167,0.46399998664855957,0.5824000239372253,0.20069999992847443,0.6219000220298767,0.3953999876976013,0.3361999988555908,0.6428999900817871,0.21629999577999115,0.5210000276565552,0.5044999718666077,0.2214999943971634,0.6370999813079834,0.30880001187324524,0.39750000834465027,0.589900016784668,0.16920000314712524,0.5662999749183655,0.4203999936580658,0.2705000042915344,0.6247000098228455,0.2264000028371811,0.45669999718666077,0.5209000110626221,0.1665000021457672,0.5927000045776367,0.3334999978542328,0.33079999685287476,0.5866000056266785,0.15649999678134918,0.5067999958992004,0.4424000084400177,0.20579999685287476,0.5947999954223633,0.2467000037431717,0.391400009393692,0.5289999842643738,0.12099999934434891,0.5414000153541565,0.35839998722076416,0.26409998536109924,0.5715000033378601,0.16380000114440918,0.4447999894618988,0.45829999446868896,0.14259999990463257,0.5548999905586243,0.2718999981880188,0.3255000114440918,0.5264999866485596,0.09549999982118607,0.48500001430511475,0.3797000050544739,0.19789999723434448,0.544700026512146,0.18520000576972961,0.38119998574256897,0.46560001373291016,0.08209999650716782,0.5069000124931335,0.29679998755455017,0.25999999046325684,0.5120999813079834,0.10090000182390213,0.4251999855041504,0.39430001378059387,0.13289999961853027,0.5069000124931335,0.21230000257492065,0.3172999918460846,0.4616999924182892,0.03229999914765358,0.45260000228881836,0.3172000050544739,0.19660000503063202,0.48510000109672546,0.12849999964237213,0.3634999990463257,0.39879998564720154,0.07190000265836716,0.4596000015735626,0.23819999396800995,0.25519999861717224,0.44440001249313354,0.04989999905228615,0.3935000002384186,0.32899999618530273,0.14010000228881836,0.44530001282691956,0.1623000055551529,0.3018999993801117,0.3896999955177307,0.042100001126527786,0.4036000072956085,0.25769999623298645,0.20000000298023224,0.41119998693466187,0.10140000283718109,0.33149999380111694,0.3269999921321869,0.10849999636411667,0.391400009393692,0.19349999725818634,0.24560000002384186,0.361299991607666,0.09120000153779984,0.33869999647140503,0.26420000195503235,0.16820000112056732,0.35600000619888306,0.1559000015258789,0.26989999413490295,0.3010999858379364,0.14030000567436218,0.31540000438690186,0.21780000627040863,0.21330000460147858,0.29249998927116394,0.18440000712871552,0.2529999911785126,0.23330000042915344"
deu,geo,"0.7378000020980835,0.7811999917030334,0.7906000018119812,0.7009999752044678,0.8457000255584717,0.718999981880188,0.7311000227928162,0.8495000004768372,0.6604999899864197,0.8205000162124634,0.7544000148773193,0.6664000153541565,0.9039999842643738,0.6572999954223633,0.7472000122070312,0.8240000009536743,0.6186000108718872,0.8765000104904175,0.6934999823570251,0.666100025177002,0.9122999906539917,0.6040999889373779,0.7871999740600586,0.7638999819755554,0.6000000238418579,0.9427000284194946,0.6298999786376953,0.6895999908447266,0.8592000007629395,0.5651999711990356,0.8429999947547913,0.6933000087738037,0.6036999821662903,0.9702000021934509,0.5724999904632568,0.7315000295639038,0.7851999998092651,0.5449000000953674,0.9085999727249146,0.6226000189781189,0.628000020980835,0.8949000239372253,0.5274999737739563,0.7864999771118164,0.7064999938011169,0.5457000136375427,0.9652000069618225,0.5576000213623047,0.6694999933242798,0.8119000196456909,0.4999000132083893,0.8485000133514404,0.6287999749183655,0.5670999884605408,0.9193999767303467,0.5034000277519226,0.7232999801635742,0.7276999950408936,0.4934999942779541,0.9045000076293945,0.555899977684021,0.6061999797821045,0.8379999995231628,0.46540001034736633,0.7838000059127808,0.6445000171661377,0.508899986743927,0.9124000072479248,0.4918999969959259,0.65829998254776,0.7523999810218811,0.44839999079704285,0.8413000106811523,0.5648999810218811,0.5436999797821045,0.8553000092506409,0.44209998846054077,0.7178000211715698,0.6662999987602234,0.45489999651908875,0.8744999766349792,0.4921000003814697,0.5932000279426575,0.7760000228881836,0.4122999906539917,0.7768999934196472,0.5820000171661377,0.48330000042915344,0.8546000123023987,0.43059998750686646,0.6514000296592712,0.6906999945640564,0.4068000018596649,0.8223000168800354,0.5022000074386597,0.5288000106811523,0.7926999926567078,0.38670000433921814,0.7116000056266785,0.6043000221252441,0.4262000024318695,0.8324999809265137,0.43059998750686646,0.5852000117301941,0.7138000130653381,0.36660000681877136,0.7638999819755554,0.5198000073432922,0.4659000039100647,0.7968999743461609,0.37279999256134033,0.6456000208854675,0.6287000179290771,0.37369999289512634,0.79339998960495,0.4404999911785126,0.5194000005722046,0.7312999963760376,0.33629998564720154,0.7020999789237976,0.5424000024795532,0.40540000796318054,0.7846999764442444,0.3707999885082245,0.5792999863624573,0.6518999934196472,0.3278000056743622,0.7437000274658203,0.45809999108314514,0.4544999897480011,0.7390000224113464,0.3179999887943268,0.6383000016212463,0.5669000148773193,0.3481999933719635,0.756600022315979,0.37959998846054077,0.5130000114440918,0.6704000234603882,0.29100000858306885,0.6876000165939331,0.48069998621940613,0.39100000262260437,0.7333999872207642,0.3125,0.5733000040054321,0.590399980545044,0.296099990606308,0.7160000205039978,0.39660000801086426,0.44699999690055847,0.6805999875068665,0.2662000060081482,0.6274999976158142,0.5052000284194946,0.3296000063419342,0.713699996471405,0.3190999925136566,0.5074999928474426,0.609499990940094,0.2515000104904175,0.6665999889373779,0.4189999997615814,0.3815000057220459,0.6794999837875366,0.2554999887943268,0.5648999810218811,0.5288000106811523,0.27149999141693115,0.6812000274658203,0.3352000117301941,0.44130000472068787,0.621399998664856,0.21789999306201935,0.6114000082015991,0.44350001215934753,0.31700000166893005,0.6657999753952026,0.2587999999523163,0.5005999803543091,0.54830002784729,0.21860000491142273,0.6385999917984009,0.3571999967098236,0.3749000132083893,0.623199999332428,0.19949999451637268,0.5521000027656555,0.46700000762939453,0.2540999948978424,0.6398000121116638,0.273499995470047,0.4352000057697296,0.5609999895095825,0.17430000007152557,0.5885000228881836,0.3815999925136566,0.30869999527931213,0.6134999990463257,0.1981000006198883,0.4900999963283539,0.48649999499320984,0.19370000064373016,0.6029999852180481,0.2953000068664551,0.36910000443458557,0.5644000172615051,0.14470000565052032,0.5329999923706055,0.4049000144004822,0.24300000071525574,0.5918999910354614,0.21130000054836273,0.42640000581741333,0.4993000030517578,0.13779999315738678,0.5576000213623047,0.3197000026702881,0.3027999997138977,0.5568000078201294,0.13619999587535858,0.47380000352859497,0.4239000082015991,0.17790000140666962,0.5593000054359436,0.23340000212192535,0.36149999499320984,0.5027999877929688,0.09210000187158585,0.5055999755859375,0.3427000045776367,0.23669999837875366,0.5374000072479248,0.14869999885559082,0.4120999872684479,0.435699999332428,0.11389999836683273,0.5170999765396118,0.25839999318122864,0.29660001397132874,0.4950000047683716,0.07199999690055847,0.4487999975681305,0.36059999465942383,0.17170000076293945,0.5063999891281128,0.17350000143051147,0.3490999937057495,0.4374000132083893,0.050999999046325684,0.46709999442100525,0.28119999170303345,0.2328999936580658,0.4747999906539917,0.08980000019073486,0.3885999917984009,0.36980000138282776,0.1103999987244606,0.4643999934196472,0.2011999934911728,0.2867000102996826,0.42640000581741333,0.011699999682605267,0.4106000065803528,0.2971999943256378,0.17440000176429749,0.4408999979496002,0.12559999525547028,0.3269999921321869,0.36660000681877136,0.06679999828338623,0.41200000047683716,0.22509999573230743,0.2287999987602234,0.3995000123977661,0.07180000096559525,0.3490000069141388,0.3012999892234802,0.13339999318122864,0.39149999618530273,0.16329999268054962,0.26750001311302185,0.3449000120162964,0.08709999918937683,0.34790000319480896,0.23919999599456787,0.18780000507831573,0.349700003862381,0.1356000006198883,0.2833000123500824,0.2838999927043915,0.14569999277591705,0.31690001487731934,0.1996999979019165,0.2231999933719635,0.2840999960899353,0.17820000648498535,0.25459998846054077,0.2296999990940094"
ita,geo,"0.7067999839782715,0.7511000037193298,0.7605000138282776,0.6700999736785889,0.8151999711990356,0.6891999840736389,0.7024999856948853,0.8201000094413757,0.6294000148773193,0.7940000295639038,0.727400004863739,0.6370000243186951,0.8729000091552734,0.6276000142097473,0.7225000262260437,0.7997000217437744,0.5877000093460083,0.8525000214576721,0.6672999858856201,0.6395000219345093,0.8863999843597412,0.5734999775886536,0.7671999931335449,0.7425000071525574,0.5703999996185303,0.9174000024795532,0.6025999784469604,0.6674000024795532,0.8422999978065491,0.5340999960899353,0.8284000158309937,0.6717000007629395,0.5771999955177307,0.9484999775886536,0.54339998960495,0.7148000001907349,0.7705000042915344,0.5145999789237976,0.9013000130653381,0.5989000201225281,0.6061000227928162,0.8885999917984009,0.4966999888420105,0.7766000032424927,0.690500020980835,0.5181999802589417,0.9818000197410583,0.531000018119812,0.6535000205039978,0.8054999709129333,0.46889999508857727,0.8478000164031982,0.6098999977111816,0.5443000197410583,0.9315000176429749,0.4740000069141388,0.7146000266075134,0.7182999849319458,0.4645000100135803,0.920199990272522,0.5332000255584717,0.5895000100135803,0.8420000076293945,0.4343000054359436,0.7840999960899353,0.6312000155448914,0.48429998755455017,0.9427000284194946,0.4652999937534332,0.6489999890327454,0.7508000135421753,0.4180999994277954,0.854200005531311,0.5471000075340271,0.5253999829292297,0.8720999956130981,0.412200003862381,0.7171000242233276,0.659500002861023,0.42820000648498535,0.902999997138977,0.46950000524520874,0.5823000073432922,0.78329998254776,0.38119998574256897,0.7868000268936157,0.5699999928474426,0.4627000093460083,0.8824999928474426,0.4032999873161316,0.6488999724388123,0.691100001335144,0.37790000438690186,0.845300018787384,0.4846000075340271,0.5156999826431274,0.8098999857902527,0.3560999929904938,0.7185999751091003,0.5985999703407288,0.4027000069618225,0.8636000156402588,0.4074000120162964,0.580299973487854,0.722100019454956,0.3359000086784363,0.7821000218391418,0.5081999897956848,0.45010000467300415,0.8226000070571899,0.34450000524520874,0.6498000025749207,0.6299999952316284,0.3472999930381775,0.8220000267028809,0.42260000109672546,0.511900007724762,0.7479000091552734,0.3052000105381012,0.7164000272750854,0.5371999740600586,0.3862999975681305,0.8151999711990356,0.3467000126838684,0.5806999802589417,0.6604999899864197,0.2985999882221222,0.7681000232696533,0.446399986743927,0.4440999925136566,0.7630000114440918,0.28850001096725464,0.6491000056266785,0.5684000253677368,0.3255999982357025,0.7874000072479248,0.3610999882221222,0.5115000009536743,0.6862000226974487,0.26010000705718994,0.7078999876976013,0.4754999876022339,0.3772999942302704,0.7626000046730042,0.2870999872684479,0.5807999968528748,0.5986999869346619,0.26980000734329224,0.7444000244140625,0.3847000002861023,0.4424999952316284,0.7031000256538391,0.23569999635219574,0.6442000269889832,0.5067999958992004,0.3122999966144562,0.7447999715805054,0.29980000853538513,0.5120000243186951,0.6247000098228455,0.22190000116825104,0.6916999816894531,0.4138999879360199,0.37389999628067017,0.7071999907493591,0.22849999368190765,0.5781999826431274,0.5370000004768372,0.25,0.7116000056266785,0.3228999972343445,0.44290000200271606,0.6427000164985657,0.1868000030517578,0.6330999732017517,0.44519999623298645,0.3059999942779541,0.6963000297546387,0.23839999735355377,0.5109000205993652,0.5629000067710876,0.19249999523162842,0.6668999791145325,0.3522999882698059,0.37369999289512634,0.6495000123977661,0.17080000042915344,0.5706999897956848,0.47530001401901245,0.23919999599456787,0.6708999872207642,0.26109999418258667,0.44290000200271606,0.5814999938011169,0.14419999718666077,0.6140999794006348,0.3837999999523163,0.30480000376701355,0.6431000232696533,0.17669999599456787,0.5059000253677368,0.5009999871253967,0.17430000007152557,0.6330999732017517,0.29100000858306885,0.37450000643730164,0.5896999835968018,0.11429999768733978,0.5559999942779541,0.41370001435279846,0.2363000065088272,0.6229000091552734,0.19949999451637268,0.4399000108242035,0.5192999839782715,0.11289999634027481,0.5859000086784363,0.3230000138282776,0.30630001425743103,0.5853999853134155,0.11420000344514847,0.4943999946117401,0.43880000710487366,0.16859999299049377,0.5902000069618225,0.23109999299049377,0.3732999861240387,0.5273000001907349,0.06129999831318855,0.5320000052452087,0.35280001163482666,0.23899999260902405,0.5679000020027161,0.13979999721050262,0.4309000074863434,0.45590001344680786,0.10209999978542328,0.5472000241279602,0.26440000534057617,0.3075000047683716,0.5230000019073486,0.051600001752376556,0.4733999967575073,0.3767000138759613,0.17440000176429749,0.5375000238418579,0.1761000007390976,0.367000013589859,0.4620000123977661,0.039400000125169754,0.4959000051021576,0.29429998993873596,0.24449999630451202,0.504800021648407,0.0917000025510788,0.412200003862381,0.3912000060081482,0.11779999732971191,0.4952999949455261,0.21289999783039093,0.30489999055862427,0.45419999957084656,0.03689999878406525,0.438400000333786,0.3163999915122986,0.18940000236034393,0.47189998626708984,0.14000000059604645,0.3504999876022339,0.3921999931335449,0.08869999647140503,0.4422999918460846,0.24420000612735748,0.24950000643730164,0.4293999969959259,0.09749999642372131,0.3765000104904175,0.3257000148296356,0.15639999508857727,0.42260000109672546,0.18569999933242798,0.29280000925064087,0.3736000061035156,0.11810000240802765,0.37790000438690186,0.26440000534057617,0.21400000154972076,0.3806000053882599,0.16419999301433563,0.31209999322891235,0.3125,0.17599999904632568,0.34790000319480896,0.22849999368190765,0.25279998779296875,0.3147999942302704,0.2092999964952469,0.2856000065803528,0.26089999079704285"
