native,target,geographic_distance,family_distance,phonological_distance,syntactic_distance,inventory_distance,same_script,family_distance_norm,phonological_distance_norm,syntactic_distance_norm,inventory_distance_norm,geographic_distance_norm,difficulty_score
eng,spa,0.8496208451359379,4.358898943540674,1.7320508075688772,3.7416573867739413,5.830951894845301,1,0.8614815635668237,0.5477225575051661,0.36758284421387466,0.8220884405302838,0.10893565763942578,0.5976517262506273
eng,fra,0.3632218118111742,4.358898943540674,2.449489742783178,3.872983346207417,5.291502622129181,1,0.8614815635668237,0.7745966692414833,0.3883236969818679,0.6743877401834383,0.02858883435386735,0.6323459785220005
eng,deu,0.6463695225079125,2.6457513110645907,2.23606797749979,2.8284271247461903,5.0,1,0.42209796618756334,0.7071067811865475,0.22335260603626417,0.594574598116085,0.07536117047376932,0.44103085460125996
eng,ita,0.9093742609794797,4.0,1.7320508075688772,3.3166247903554,5.385164807134504,1,0.7694321068130031,0.5477225575051661,0.3004556856387994,0.7000323577980808,0.11880614835704191,0.5387965696355165
eng,por,0.7562694941627559,4.242640687119285,1.4142135623730951,3.4641016151377544,4.69041575982343,1,0.831663951842585,0.4472135954999579,0.32374731147345703,0.509810726139399,0.09351522300401728,0.5071994167935671
eng,nld,0.2574855221269145,3.1622776601683795,2.0,2.449489742783178,5.477225575051661,1,0.5545752851926823,0.6324555320336759,0.16350545562146043,0.7252385089295295,0.011122568181295787,0.46652946443900994
eng,rus,2.7235860526929985,3.3166247903554,1.7320508075688772,3.872983346207417,5.744562646538029,0,0.594161831046129,0.5477225575051661,0.3883236969818679,0.7984351461006214,0.41849044919745054,0.5835337224614695
eng,pol,0.8106919080970605,3.4641016151377544,1.7320508075688772,4.123105625617661,5.830951894845301,1,0.6319862990455887,0.5477225575051661,0.42782654465663106,0.8220884405302838,0.10250510122245012,0.5405303591619595
eng,cmn,4.463534921580094,3.605551275463989,2.449489742783178,4.58257569495584,6.082762530298219,0,0.6682649357631881,0.7745966692414833,0.500392555981073,0.8910339542092922,0.705907476609666,0.713157626197419
eng,jpn,5.044845007627501,3.4641016151377544,2.6457513110645907,6.0,5.656854249492381,0,0.6319862990455887,0.8366600265340756,0.7242522479073147,0.7744206699948047,0.8019323770674315,0.7498710652812508
eng,kor,4.814351270483619,3.1622776601683795,2.23606797749979,5.830951894845301,5.291502622129181,0,0.5545752851926823,0.7071067811865475,0.6975537804082217,0.6743877401834383,0.7638577957095318,0.6720110877490783
eng,arb,2.699855781526311,3.872983346207417,2.6457513110645907,5.385164807134504,5.291502622129181,0,0.7368552096370148,0.8366600265340756,0.6271487790515345,0.6743877401834383,0.4145705156175761,0.7275380121433248
eng,hin,3.973718784858659,3.7416573867739413,2.23606797749979,5.477225575051661,5.656854249492381,0,0.703173073088302,0.7071067811865475,0.6416883174742132,0.7744206699948047,0.6249961920814852,0.7134791908212652
eng,tur,1.7631121363538103,3.872983346207417,2.0,6.082762530298219,5.744562646538029,1,0.7368552096370148,0.6324555320336759,0.7373232771465221,0.7984351461006214,0.2598325927066736,0.6593920028792548
eng,vie,5.1150978235257645,3.4641016151377544,2.23606797749979,4.795831523312719,5.0990195135927845,1,0.6319862990455887,0.7071067811865475,0.5340729323281959,0.6216860472279178,0.8135372327467433,0.6071169401974775
